region,category,category_revenue,category_units,category_share_pct
Abu Dhabi,Electronics,10788931.423597956,100850,55.77
Abu Dhabi,Household,2161069.09784441,70296,11.17
Abu Dhabi,Personal Care,2161444.8894749642,51427,11.17
Abu Dhabi,Grocery,1466250.777383089,58761,7.58
Abu Dhabi,Snacks,1138482.6995964763,91702,5.89
Abu Dhabi,Dairy,1123112.984356713,58780,5.81
Abu Dhabi,Beverages,504640.19186427584,37295,2.61
Dubai,Electronics,21587210.981756732,202081,55.72
Dubai,Household,4324277.143123937,141555,11.16
Dubai,Personal Care,4317382.654636955,103032,11.14
Dubai,Grocery,2953141.201174248,117673,7.62
Dubai,Snacks,2301242.78487777,184615,5.94
Dubai,Dairy,2240477.5379046556,118036,5.78
Dubai,Beverages,1016998.4611919405,74960,2.63
Sharjah,Electronics,6134264.125543358,57245,55.68
Sharjah,Personal Care,1242476.9211668966,29406,11.28
Sharjah,Household,1241758.9603777165,40066,11.27
Sharjah,Grocery,831237.7530577185,33503,7.54
Sharjah,Snacks,637854.8555451152,51155,5.79
Sharjah,Dairy,637327.2666252613,33383,5.78
Sharjah,Beverages,292783.3647514343,21392,2.66
