cust_id,city,total_spend,spend_tier
3845,Dubai,16599.204557514193,High
1404,Dubai,16595.93901910782,High
4900,Dubai,16569.1340018034,High
4184,Dubai,16497.303976190087,High
1846,Abu Dhabi,16479.97903499603,High
3969,Dubai,16452.32449808121,High
1962,Sharjah,16419.815966629983,High
1169,Dubai,16297.94899067879,High
3727,Dubai,16297.20508668423,High
283,Sharjah,16118.04549705982,High
3378,Abu Dhabi,15956.765993809699,High
3680,Dubai,15902.122430038455,High
4915,Sharjah,15895.694439244273,High
1343,Abu Dhabi,15842.925989866257,High
559,Abu Dhabi,15835.64199781418,High
2804,Sharjah,15753.240922689438,High
3424,Dubai,15736.274016070363,High
2360,Abu Dhabi,15687.60604016781,High
3865,Dubai,15588.363959527016,High
2636,Dubai,15587.006878256798,High
4510,Sharjah,15572.776017713548,High
4078,Dubai,15535.376840496063,High
3695,Sharjah,15462.343035602571,High
2771,Dubai,15435.264508819582,High
2923,Sharjah,15423.035971331594,High
3756,Dubai,15383.527494621276,High
249,Dubai,15380.221959495546,High
1966,Dubai,15242.442829728127,High
467,Abu Dhabi,15235.564462828635,High
3285,Sharjah,15228.806033277513,High
4524,Abu Dhabi,15225.196071171758,High
4742,Abu Dhabi,15211.56641442776,High
3470,Dubai,15203.77856981754,High
2895,Abu Dhabi,15180.693375444414,High
267,Abu Dhabi,15128.590981006624,High
4396,Sharjah,15114.709502935406,High
3873,Dubai,15100.496486747264,High
1852,Sharjah,15096.517629122736,High
509,Abu Dhabi,15077.399988102912,High
4227,Sharjah,15044.365971374511,High
1867,Abu Dhabi,15042.932951259614,High
3469,Sharjah,15002.586497879027,High
4337,Abu Dhabi,14995.984018731118,Medium
701,Dubai,14960.601391625405,Medium
2308,Sharjah,14941.902950549127,Medium
4316,Abu Dhabi,14930.03592104912,Medium
4377,Abu Dhabi,14929.427050256725,Medium
705,Dubai,14894.763977622988,Medium
414,Dubai,14853.997008943563,Medium
702,Sharjah,14849.164865779872,Medium
2612,Abu Dhabi,14848.528955173491,Medium
3678,Abu Dhabi,14842.166976952552,Medium
3794,Sharjah,14804.182991313934,Medium
1824,Abu Dhabi,14802.302462267877,Medium
3857,Abu Dhabi,14752.784506225587,Medium
66,Dubai,14734.889919877052,Medium
2166,Abu Dhabi,14694.412497591971,Medium
4345,Abu Dhabi,14676.82311935425,Medium
2217,Dubai,14652.621540236476,Medium
3317,Abu Dhabi,14646.109005331993,Medium
2124,Dubai,14638.127991223335,Medium
3536,Sharjah,14574.34051659107,Medium
4248,Sharjah,14571.04997417927,Medium
3208,Sharjah,14570.626055622097,Medium
455,Dubai,14566.640037536625,Medium
2461,Dubai,14566.498473119735,Medium
4955,Sharjah,14553.040440607072,Medium
348,Sharjah,14551.705936479566,Medium
3272,Dubai,14539.50602231026,Medium
3415,Abu Dhabi,14510.709514856339,Medium
4079,Sharjah,14502.127566695211,Medium
4604,Dubai,14479.493019437792,Medium
3591,Sharjah,14472.594957923891,Medium
4840,Abu Dhabi,14457.554029393195,Medium
3544,Dubai,14450.014944076538,Medium
2273,Sharjah,14447.103492474555,Medium
4442,Dubai,14441.518575286864,Medium
4689,Abu Dhabi,14437.537490797044,Medium
4723,Dubai,14429.4459666729,Medium
3172,Sharjah,14426.309975910186,Medium
4250,Dubai,14417.046472740174,Medium
2834,Dubai,14414.872029161459,Medium
4221,Sharjah,14413.175487804418,Medium
4869,Abu Dhabi,14401.002610456944,Medium
2425,Sharjah,14382.337502717972,Medium
1888,Dubai,14381.823991417885,Medium
132,Dubai,14381.165500164032,Medium
1324,Sharjah,14365.708906102183,Medium
1869,Abu Dhabi,14359.80395582914,Medium
2625,Dubai,14355.126998519898,Medium
394,Dubai,14354.447106409072,Medium
2977,Abu Dhabi,14353.746968424319,Medium
4356,Dubai,14340.551057291032,Medium
224,Dubai,14333.950642156606,Medium
3084,Abu Dhabi,14333.22142047882,Medium
