cust_id,city,total_spend,avg_customer_spend
3845,Dubai,16599.204557514193,10358.992556933496
1404,Dubai,16595.93901910782,10358.992556933496
4900,Dubai,16569.1340018034,10358.992556933496
4184,Dubai,16497.303976190087,10358.992556933496
1846,Abu Dhabi,16479.97903499603,10358.992556933496
3969,Dubai,16452.32449808121,10358.992556933496
1962,Sharjah,16419.815966629983,10358.992556933496
1169,Dubai,16297.94899067879,10358.992556933496
3727,Dubai,16297.20508668423,10358.992556933496
283,Sharjah,16118.04549705982,10358.992556933496
3378,Abu Dhabi,15956.765993809699,10358.992556933496
3680,Dubai,15902.122430038455,10358.992556933496
4915,Sharjah,15895.694439244273,10358.992556933496
1343,Abu Dhabi,15842.925989866257,10358.992556933496
559,Abu Dhabi,15835.64199781418,10358.992556933496
2804,Sharjah,15753.240922689438,10358.992556933496
3424,Dubai,15736.274016070363,10358.992556933496
2360,Abu Dhabi,15687.60604016781,10358.992556933496
3865,Dubai,15588.363959527016,10358.992556933496
2636,Dubai,15587.006878256798,10358.992556933496
4510,Sharjah,15572.776017713548,10358.992556933496
4078,Dubai,15535.376840496063,10358.992556933496
3695,Sharjah,15462.343035602571,10358.992556933496
2771,Dubai,15435.264508819582,10358.992556933496
2923,Sharjah,15423.035971331594,10358.992556933496
3756,Dubai,15383.527494621276,10358.992556933496
249,Dubai,15380.221959495546,10358.992556933496
1966,Dubai,15242.442829728127,10358.992556933496
467,Abu Dhabi,15235.564462828635,10358.992556933496
3285,Sharjah,15228.806033277513,10358.992556933496
4524,Abu Dhabi,15225.196071171758,10358.992556933496
4742,Abu Dhabi,15211.56641442776,10358.992556933496
3470,Dubai,15203.77856981754,10358.992556933496
2895,Abu Dhabi,15180.693375444414,10358.992556933496
267,Abu Dhabi,15128.590981006624,10358.992556933496
4396,Sharjah,15114.709502935406,10358.992556933496
3873,Dubai,15100.496486747264,10358.992556933496
1852,Sharjah,15096.517629122736,10358.992556933496
509,Abu Dhabi,15077.399988102912,10358.992556933496
4227,Sharjah,15044.365971374511,10358.992556933496
1867,Abu Dhabi,15042.932951259614,10358.992556933496
3469,Sharjah,15002.586497879027,10358.992556933496
4337,Abu Dhabi,14995.984018731118,10358.992556933496
701,Dubai,14960.601391625405,10358.992556933496
2308,Sharjah,14941.902950549127,10358.992556933496
4316,Abu Dhabi,14930.03592104912,10358.992556933496
4377,Abu Dhabi,14929.427050256725,10358.992556933496
705,Dubai,14894.763977622988,10358.992556933496
414,Dubai,14853.997008943563,10358.992556933496
702,Sharjah,14849.164865779872,10358.992556933496
2612,Abu Dhabi,14848.528955173491,10358.992556933496
3678,Abu Dhabi,14842.166976952552,10358.992556933496
3794,Sharjah,14804.182991313934,10358.992556933496
1824,Abu Dhabi,14802.302462267877,10358.992556933496
3857,Abu Dhabi,14752.784506225587,10358.992556933496
66,Dubai,14734.889919877052,10358.992556933496
2166,Abu Dhabi,14694.412497591971,10358.992556933496
4345,Abu Dhabi,14676.82311935425,10358.992556933496
2217,Dubai,14652.621540236476,10358.992556933496
3317,Abu Dhabi,14646.109005331993,10358.992556933496
2124,Dubai,14638.127991223335,10358.992556933496
3536,Sharjah,14574.34051659107,10358.992556933496
4248,Sharjah,14571.04997417927,10358.992556933496
3208,Sharjah,14570.626055622097,10358.992556933496
455,Dubai,14566.640037536625,10358.992556933496
2461,Dubai,14566.498473119735,10358.992556933496
4955,Sharjah,14553.040440607072,10358.992556933496
348,Sharjah,14551.705936479566,10358.992556933496
3272,Dubai,14539.50602231026,10358.992556933496
3415,Abu Dhabi,14510.709514856339,10358.992556933496
4079,Sharjah,14502.127566695211,10358.992556933496
4604,Dubai,14479.493019437792,10358.992556933496
3591,Sharjah,14472.594957923891,10358.992556933496
4840,Abu Dhabi,14457.554029393195,10358.992556933496
3544,Dubai,14450.014944076538,10358.992556933496
2273,Sharjah,14447.103492474555,10358.992556933496
4442,Dubai,14441.518575286864,10358.992556933496
4689,Abu Dhabi,14437.537490797044,10358.992556933496
4723,Dubai,14429.4459666729,10358.992556933496
3172,Sharjah,14426.309975910186,10358.992556933496
4250,Dubai,14417.046472740174,10358.992556933496
2834,Dubai,14414.872029161459,10358.992556933496
4221,Sharjah,14413.175487804418,10358.992556933496
4869,Abu Dhabi,14401.002610456944,10358.992556933496
2425,Sharjah,14382.337502717972,10358.992556933496
1888,Dubai,14381.823991417885,10358.992556933496
132,Dubai,14381.165500164032,10358.992556933496
1324,Sharjah,14365.708906102183,10358.992556933496
1869,Abu Dhabi,14359.80395582914,10358.992556933496
2625,Dubai,14355.126998519898,10358.992556933496
394,Dubai,14354.447106409072,10358.992556933496
2977,Abu Dhabi,14353.746968424319,10358.992556933496
4356,Dubai,14340.551057291032,10358.992556933496
224,Dubai,14333.950642156606,10358.992556933496
3084,Abu Dhabi,14333.22142047882,10358.992556933496
4094,Dubai,14317.780546259879,10358.992556933496
404,Abu Dhabi,14303.186460411549,10358.992556933496
655,Dubai,14284.539531421664,10358.992556933496
369,Dubai,14256.227974939344,10358.992556933496
1173,Abu Dhabi,14253.31604859829,10358.992556933496
3856,Abu Dhabi,14242.161016273498,10358.992556933496
3403,Abu Dhabi,14240.968511962888,10358.992556933496
1256,Abu Dhabi,14233.448503303525,10358.992556933496
250,Abu Dhabi,14187.478958630563,10358.992556933496
4563,Sharjah,14184.814031219485,10358.992556933496
1462,Dubai,14182.912541818616,10358.992556933496
3705,Sharjah,14176.69152019024,10358.992556933496
211,Abu Dhabi,14175.591916048528,10358.992556933496
4587,Dubai,14175.06944811344,10358.992556933496
1974,Dubai,14159.029485964775,10358.992556933496
4178,Dubai,14155.979465341567,10358.992556933496
4949,Dubai,14147.683638381957,10358.992556933496
4512,Dubai,14147.342503440383,10358.992556933496
34,Dubai,14140.53397760391,10358.992556933496
4402,Sharjah,14140.34649205208,10358.992556933496
724,Dubai,14133.479582214353,10358.992556933496
4968,Dubai,14120.308463907242,10358.992556933496
2245,Dubai,14114.048047065735,10358.992556933496
4769,Dubai,14111.109531712535,10358.992556933496
4969,Abu Dhabi,14100.28336391449,10358.992556933496
456,Abu Dhabi,14099.374478912354,10358.992556933496
4481,Abu Dhabi,14090.149067831037,10358.992556933496
1638,Abu Dhabi,14085.83412579298,10358.992556933496
1642,Sharjah,14085.58002409935,10358.992556933496
3151,Abu Dhabi,14081.820009016988,10358.992556933496
2420,Dubai,14061.520888757708,10358.992556933496
2161,Dubai,14029.268511009217,10358.992556933496
3676,Sharjah,14024.937458109856,10358.992556933496
2807,Sharjah,14018.20359659195,10358.992556933496
1096,Dubai,14016.127087974548,10358.992556933496
1648,Sharjah,14007.970444107057,10358.992556933496
301,Dubai,14000.636970138548,10358.992556933496
4014,Dubai,13988.875947427747,10358.992556933496
4546,Dubai,13984.539034128187,10358.992556933496
2591,Sharjah,13975.781921195981,10358.992556933496
3782,Dubai,13973.115400505065,10358.992556933496
4890,Dubai,13972.794486641886,10358.992556933496
4,Abu Dhabi,13960.22143473625,10358.992556933496
4684,Dubai,13946.986996650696,10358.992556933496
1585,Sharjah,13939.157469034193,10358.992556933496
2604,Sharjah,13938.971003460882,10358.992556933496
1535,Dubai,13918.85142297745,10358.992556933496
356,Dubai,13916.667900419236,10358.992556933496
3875,Dubai,13908.519000411032,10358.992556933496
526,Dubai,13908.121494817733,10358.992556933496
3448,Sharjah,13907.781053876874,10358.992556933496
743,Abu Dhabi,13896.856534790993,10358.992556933496
1575,Sharjah,13890.510059404372,10358.992556933496
2971,Sharjah,13880.266026639938,10358.992556933496
2568,Abu Dhabi,13868.475982952117,10358.992556933496
4725,Dubai,13864.271021699904,10358.992556933496
2183,Dubai,13862.78647780418,10358.992556933496
4560,Sharjah,13862.709454107287,10358.992556933496
884,Sharjah,13852.31797492504,10358.992556933496
2578,Abu Dhabi,13842.591499495507,10358.992556933496
3913,Dubai,13841.929460811616,10358.992556933496
1327,Dubai,13839.734928441048,10358.992556933496
243,Dubai,13826.188461852074,10358.992556933496
273,Sharjah,13823.395061492918,10358.992556933496
3718,Dubai,13813.66150996685,10358.992556933496
1104,Abu Dhabi,13809.972428536415,10358.992556933496
341,Dubai,13801.73445456028,10358.992556933496
2015,Abu Dhabi,13799.82546749115,10358.992556933496
1333,Sharjah,13794.551986670498,10358.992556933496
586,Dubai,13785.64844286442,10358.992556933496
3972,Dubai,13780.617496991159,10358.992556933496
229,Dubai,13776.186981725692,10358.992556933496
3184,Dubai,13765.277997732162,10358.992556933496
1290,Abu Dhabi,13756.732026910786,10358.992556933496
2261,Dubai,13743.044471359257,10358.992556933496
1115,Dubai,13741.056077528,10358.992556933496
337,Sharjah,13740.411997985837,10358.992556933496
448,Dubai,13738.90797857046,10358.992556933496
1688,Dubai,13738.582468557355,10358.992556933496
3430,Abu Dhabi,13738.267526960373,10358.992556933496
3564,Dubai,13733.16893877983,10358.992556933496
4691,Sharjah,13731.417502975462,10358.992556933496
2574,Sharjah,13727.90189538002,10358.992556933496
1948,Abu Dhabi,13727.83661074638,10358.992556933496
3435,Sharjah,13718.762504339218,10358.992556933496
1037,Abu Dhabi,13718.679986429213,10358.992556933496
1730,Sharjah,13718.618094468116,10358.992556933496
2267,Abu Dhabi,13718.599985456465,10358.992556933496
983,Dubai,13718.283507966995,10358.992556933496
716,Dubai,13707.331482768062,10358.992556933496
1789,Abu Dhabi,13703.02503168583,10358.992556933496
4245,Sharjah,13701.674444234368,10358.992556933496
1825,Dubai,13693.602950453755,10358.992556933496
540,Sharjah,13693.052499794961,10358.992556933496
2147,Dubai,13687.858024096491,10358.992556933496
3385,Sharjah,13687.140981030461,10358.992556933496
1538,Dubai,13686.99850311279,10358.992556933496
2927,Dubai,13685.835548210143,10358.992556933496
1074,Dubai,13685.525957393644,10358.992556933496
4371,Sharjah,13680.789026308059,10358.992556933496
1223,Dubai,13679.185850214957,10358.992556933496
1883,Abu Dhabi,13675.76697511673,10358.992556933496
516,Abu Dhabi,13660.91046013832,10358.992556933496
2740,Dubai,13660.440994954108,10358.992556933496
4632,Sharjah,13655.059539604186,10358.992556933496
4495,Dubai,13649.046990013123,10358.992556933496
1996,Abu Dhabi,13649.027996778488,10358.992556933496
2110,Abu Dhabi,13633.659109902383,10358.992556933496
1102,Sharjah,13632.029967546465,10358.992556933496
4233,Sharjah,13628.608469772338,10358.992556933496
3506,Sharjah,13614.019443321227,10358.992556933496
2149,Dubai,13612.500557804107,10358.992556933496
2432,Abu Dhabi,13609.036445665357,10358.992556933496
2324,Abu Dhabi,13608.385460710522,10358.992556933496
2783,Abu Dhabi,13600.970970916747,10358.992556933496
2290,Sharjah,13598.02695872784,10358.992556933496
4875,Dubai,13587.65647153854,10358.992556933496
3560,Dubai,13586.609977674483,10358.992556933496
1619,Sharjah,13586.34247684479,10358.992556933496
870,Dubai,13575.177069044112,10358.992556933496
1748,Dubai,13566.589035654068,10358.992556933496
2277,Dubai,13563.781523048878,10358.992556933496
4263,Sharjah,13561.776421582697,10358.992556933496
2975,Dubai,13560.345074427127,10358.992556933496
1545,Dubai,13556.642499518393,10358.992556933496
1914,Sharjah,13554.779565000536,10358.992556933496
265,Dubai,13552.239015293122,10358.992556933496
1387,Abu Dhabi,13534.317056441305,10358.992556933496
3688,Dubai,13533.95293302536,10358.992556933496
4360,Abu Dhabi,13529.611056447025,10358.992556933496
1372,Dubai,13522.445936083794,10358.992556933496
3801,Dubai,13522.142077660563,10358.992556933496
2359,Dubai,13519.67249224186,10358.992556933496
2076,Sharjah,13507.269550919535,10358.992556933496
1061,Sharjah,13503.267088341709,10358.992556933496
1090,Dubai,13497.7355740428,10358.992556933496
4308,Dubai,13494.967064237597,10358.992556933496
2717,Abu Dhabi,13494.230957365035,10358.992556933496
1348,Abu Dhabi,13494.134549665452,10358.992556933496
2437,Dubai,13492.538567614552,10358.992556933496
2758,Dubai,13487.412506818773,10358.992556933496
1393,Sharjah,13480.811380636693,10358.992556933496
2328,Dubai,13479.638536381719,10358.992556933496
807,Dubai,13476.635431623461,10358.992556933496
2832,Dubai,13474.945986557008,10358.992556933496
3362,Dubai,13471.056508922578,10358.992556933496
3614,Abu Dhabi,13470.555035972597,10358.992556933496
1692,Dubai,13468.067422628405,10358.992556933496
791,Sharjah,13464.245480751988,10358.992556933496
1777,Dubai,13462.675563764575,10358.992556933496
3535,Abu Dhabi,13459.422472226619,10358.992556933496
1728,Sharjah,13456.081993961332,10358.992556933496
2342,Dubai,13455.997574973106,10358.992556933496
405,Dubai,13438.297536230086,10358.992556933496
656,Abu Dhabi,13432.879493045808,10358.992556933496
492,Dubai,13431.08988580704,10358.992556933496
3407,Dubai,13412.310975003242,10358.992556933496
3864,Sharjah,13400.256514406203,10358.992556933496
4942,Dubai,13399.370191073416,10358.992556933496
4212,Abu Dhabi,13395.566499137876,10358.992556933496
3331,Dubai,13391.097872257233,10358.992556933496
3288,Abu Dhabi,13391.083376049995,10358.992556933496
357,Dubai,13389.738021564483,10358.992556933496
2512,Abu Dhabi,13378.231981897356,10358.992556933496
1143,Dubai,13372.294085359574,10358.992556933496
4336,Sharjah,13370.283522987367,10358.992556933496
2344,Dubai,13369.57752418518,10358.992556933496
681,Dubai,13364.456601071357,10358.992556933496
1982,Dubai,13357.94788761139,10358.992556933496
4911,Sharjah,13348.183984661104,10358.992556933496
