region,store_id,store_name,total_revenue,store_rank_within_region
Abu Dhabi,49,BlueMart Store 49,1413751.7420725066,1
Abu Dhabi,4,BlueMart Store 04,1412071.7179832116,2
Abu Dhabi,18,BlueMart Store 18,1395933.5446329692,3
Abu Dhabi,29,BlueMart Store 29,1390884.0999850975,4
Abu Dhabi,48,BlueMart Store 48,1387805.4890788593,5
Abu Dhabi,31,BlueMart Store 31,1386482.8577789606,6
Abu Dhabi,46,BlueMart Store 46,1383329.744915955,7
Abu Dhabi,21,BlueMart Store 21,1382040.4662045143,8
Abu Dhabi,26,BlueMart Store 26,1380418.89453617,9
Abu Dhabi,10,BlueMart Store 10,1376590.1646788954,10
Abu Dhabi,28,BlueMart Store 28,1371532.218901836,11
Abu Dhabi,9,BlueMart Store 09,1361479.710885262,12
Abu Dhabi,39,BlueMart Store 39,1355494.845638428,13
Abu Dhabi,3,BlueMart Store 03,1346116.5668252083,14
Dubai,41,BlueMart Store 41,1413674.5900171273,1
Dubai,11,BlueMart Store 11,1411272.391032683,2
Dubai,37,BlueMart Store 37,1404705.4381183605,3
Dubai,17,BlueMart Store 17,1400495.19417963,4
Dubai,19,BlueMart Store 19,1398322.96229434,5
Dubai,32,BlueMart Store 32,1395923.6405630105,6
Dubai,50,BlueMart Store 50,1395391.609062053,7
Dubai,7,BlueMart Store 07,1394814.804388078,8
Dubai,15,BlueMart Store 15,1394028.7706473337,9
Dubai,5,BlueMart Store 05,1392241.346755026,10
Dubai,14,BlueMart Store 14,1391831.8889700742,11
Dubai,24,BlueMart Store 24,1389427.859231748,12
Dubai,33,BlueMart Store 33,1387921.171748174,13
Dubai,6,BlueMart Store 06,1386975.5109027934,14
Dubai,40,BlueMart Store 40,1385318.7872743718,15
Dubai,16,BlueMart Store 16,1384269.927673675,16
Dubai,43,BlueMart Store 43,1377317.2075806642,17
Dubai,45,BlueMart Store 45,1376892.2456468598,18
Dubai,22,BlueMart Store 22,1375238.8596564191,19
Dubai,25,BlueMart Store 25,1374862.9672980658,20
Dubai,20,BlueMart Store 20,1372397.668363306,21
Dubai,38,BlueMart Store 38,1372241.927542038,22
Dubai,30,BlueMart Store 30,1372021.1354614252,23
Dubai,23,BlueMart Store 23,1365481.6885751241,24
Dubai,47,BlueMart Store 47,1364826.9581739071,25
Dubai,1,BlueMart Store 01,1356871.1209587306,26
Dubai,27,BlueMart Store 27,1354656.7189990662,27
Dubai,42,BlueMart Store 42,1351306.3735521322,28
Sharjah,44,BlueMart Store 44,1409875.942762471,1
Sharjah,35,BlueMart Store 35,1403202.576527958,2
Sharjah,8,BlueMart Store 08,1401332.2422593005,3
Sharjah,13,BlueMart Store 13,1384180.3693350349,4
Sharjah,34,BlueMart Store 34,1363547.0083529963,5
Sharjah,2,BlueMart Store 02,1353759.0838891498,6
Sharjah,12,BlueMart Store 12,1351401.875696256,7
Sharjah,36,BlueMart Store 36,1350404.1482443493,8
