cohort_month,months_since_signup,active_customers,retention_pct
2021-01-01,0,87,87.88
2021-01-01,1,80,80.81
2021-01-01,2,76,76.77
2021-01-01,3,72,72.73
2021-01-01,4,93,93.94
2021-01-01,5,88,88.89
2021-01-01,6,83,83.84
2021-02-01,0,55,83.33
2021-02-01,1,49,74.24
2021-02-01,2,54,81.82
2021-02-01,3,60,90.91
2021-02-01,4,54,81.82
2021-02-01,5,57,86.36
2021-02-01,6,52,78.79
2021-03-01,0,71,75.53
2021-03-01,1,77,81.91
2021-03-01,2,85,90.43
2021-03-01,3,77,81.91
2021-03-01,4,71,75.53
2021-03-01,5,79,84.04
2021-03-01,6,58,61.70
2021-04-01,0,66,77.65
2021-04-01,1,76,89.41
2021-04-01,2,71,83.53
2021-04-01,3,68,80.00
2021-04-01,4,70,82.35
2021-04-01,5,63,74.12
2021-04-01,6,54,63.53
2021-05-01,0,70,85.37
2021-05-01,1,67,81.71
2021-05-01,2,66,80.49
2021-05-01,3,67,81.71
2021-05-01,4,59,71.95
2021-05-01,5,57,69.51
2021-05-01,6,54,65.85
2021-06-01,0,77,80.21
2021-06-01,1,78,81.25
2021-06-01,2,80,83.33
2021-06-01,3,70,72.92
2021-06-01,4,67,69.79
2021-06-01,5,73,76.04
2021-06-01,6,79,82.29
2021-07-01,0,86,87.76
2021-07-01,1,77,78.57
2021-07-01,2,65,66.33
2021-07-01,3,69,70.41
2021-07-01,4,74,75.51
2021-07-01,5,81,82.65
2021-07-01,6,85,86.73
2021-08-01,0,78,80.41
2021-08-01,1,61,62.89
2021-08-01,2,62,63.92
2021-08-01,3,62,63.92
2021-08-01,4,77,79.38
2021-08-01,5,91,93.81
2021-08-01,6,82,84.54
2021-09-01,0,50,58.14
2021-09-01,1,58,67.44
2021-09-01,2,60,69.77
2021-09-01,3,64,74.42
2021-09-01,4,76,88.37
2021-09-01,5,79,91.86
2021-09-01,6,60,69.77
2021-10-01,0,68,80.00
2021-10-01,1,56,65.88
2021-10-01,2,67,78.82
2021-10-01,3,75,88.24
2021-10-01,4,74,87.06
2021-10-01,5,62,72.94
2021-10-01,6,68,80.00
2021-11-01,0,76,74.51
2021-11-01,1,80,78.43
2021-11-01,2,90,88.24
2021-11-01,3,92,90.20
2021-11-01,4,72,70.59
2021-11-01,5,86,84.31
2021-11-01,6,92,90.20
2021-12-01,0,68,78.16
2021-12-01,1,77,88.51
2021-12-01,2,76,87.36
2021-12-01,3,56,64.37
2021-12-01,4,74,85.06
2021-12-01,5,71,81.61
2021-12-01,6,67,77.01
2022-01-01,0,70,83.33
2022-01-01,1,69,82.14
2022-01-01,2,56,66.67
2022-01-01,3,73,86.90
2022-01-01,4,70,83.33
2022-01-01,5,67,79.76
2022-01-01,6,68,80.95
2022-02-01,0,67,81.71
2022-02-01,1,53,64.63
2022-02-01,2,71,86.59
2022-02-01,3,75,91.46
2022-02-01,4,65,79.27
2022-02-01,5,68,82.93
2022-02-01,6,68,82.93
2022-03-01,0,64,70.33
2022-03-01,1,80,87.91
2022-03-01,2,76,83.52
2022-03-01,3,71,78.02
2022-03-01,4,75,82.42
2022-03-01,5,75,82.42
2022-03-01,6,69,75.82
2022-04-01,0,63,85.14
2022-04-01,1,60,81.08
2022-04-01,2,58,78.38
2022-04-01,3,52,70.27
2022-04-01,4,60,81.08
2022-04-01,5,51,68.92
2022-04-01,6,52,70.27
2022-05-01,0,73,84.88
2022-05-01,1,64,74.42
2022-05-01,2,71,82.56
2022-05-01,3,71,82.56
2022-05-01,4,63,73.26
2022-05-01,5,61,70.93
2022-05-01,6,61,70.93
2022-06-01,0,83,83.84
2022-06-01,1,88,88.89
2022-06-01,2,85,85.86
2022-06-01,3,69,69.70
2022-06-01,4,72,72.73
2022-06-01,5,70,70.71
2022-06-01,6,85,85.86
2022-07-01,0,85,80.19
2022-07-01,1,84,79.25
2022-07-01,2,72,67.92
2022-07-01,3,84,79.25
2022-07-01,4,77,72.64
2022-07-01,5,85,80.19
2022-07-01,6,93,87.74
2022-08-01,0,57,81.43
2022-08-01,1,42,60.00
2022-08-01,2,51,72.86
2022-08-01,3,49,70.00
2022-08-01,4,57,81.43
2022-08-01,5,63,90.00
2022-08-01,6,60,85.71
2022-09-01,0,56,73.68
2022-09-01,1,50,65.79
2022-09-01,2,58,76.32
2022-09-01,3,64,84.21
2022-09-01,4,63,82.89
2022-09-01,5,63,82.89
2022-09-01,6,53,69.74
2022-10-01,0,69,77.53
2022-10-01,1,64,71.91
2022-10-01,2,74,83.15
2022-10-01,3,83,93.26
2022-10-01,4,74,83.15
2022-10-01,5,70,78.65
2022-10-01,6,66,74.16
2022-11-01,0,54,72.97
2022-11-01,1,57,77.03
2022-11-01,2,65,87.84
2022-11-01,3,64,86.49
2022-11-01,4,60,81.08
2022-11-01,5,59,79.73
2022-11-01,6,58,78.38
2022-12-01,0,63,80.77
2022-12-01,1,70,89.74
2022-12-01,2,67,85.90
2022-12-01,3,56,71.79
2022-12-01,4,63,80.77
2022-12-01,5,67,85.90
2022-12-01,6,67,85.90
2023-01-01,0,81,91.01
2023-01-01,1,77,86.52
2023-01-01,2,67,75.28
2023-01-01,3,75,84.27
2023-01-01,4,77,86.52
2023-01-01,5,75,84.27
2023-01-01,6,74,83.15
2023-02-01,0,42,84.00
2023-02-01,1,39,78.00
2023-02-01,2,39,78.00
2023-02-01,3,43,86.00
2023-02-01,4,37,74.00
2023-02-01,5,40,80.00
2023-02-01,6,35,70.00
2023-03-01,0,69,74.19
2023-03-01,1,79,84.95
2023-03-01,2,79,84.95
2023-03-01,3,79,84.95
2023-03-01,4,77,82.80
2023-03-01,5,78,83.87
2023-03-01,6,69,74.19
2023-04-01,0,64,73.56
2023-04-01,1,73,83.91
2023-04-01,2,74,85.06
2023-04-01,3,69,79.31
2023-04-01,4,64,73.56
2023-04-01,5,63,72.41
2023-04-01,6,65,74.71
2023-05-01,0,65,84.42
2023-05-01,1,67,87.01
