cust_id,recency_days,frequency,monetary,recency_score,frequency_score,monetary_score,segment
1,27,89,7876.575541353225,2,2,1,Lost
2,9,106,10469.128954315187,4,5,3,Loyal
3,50,93,12708.429977798462,1,3,5,At Risk
4,40,86,13960.221434736251,1,2,5,At Risk
5,15,89,10205.05345184803,3,2,3,Others
6,86,95,7128.426497912409,1,3,1,Others
7,13,91,8622.614491581917,3,3,1,Others
8,5,97,9527.533478069305,4,4,2,Loyal
9,31,99,10906.52248170376,2,4,4,Loyal
10,4,85,10357.853471446035,5,1,3,Others
11,12,99,10929.952474474905,3,4,4,Loyal
12,6,94,11608.23789753914,4,3,4,Others
13,20,108,10776.526933526993,3,5,4,Loyal
14,3,97,12247.775437974931,5,4,5,Champions
15,13,84,11697.823520779608,3,1,4,Others
16,1,95,10639.956046915057,5,3,3,Others
17,13,93,11196.937537503243,3,3,4,Others
18,12,99,9717.976522541047,3,4,2,Loyal
19,0,65,9734.224031853675,5,1,2,Others
20,3,90,12671.036451053622,5,2,5,Others
21,22,74,8875.57146704197,3,1,2,Others
22,37,84,11638.898570370677,2,1,4,At Risk
23,0,89,7997.167479062081,5,2,1,Others
24,11,88,10687.371546530721,4,2,3,Others
25,27,86,11578.108467531205,2,2,4,At Risk
26,12,95,9997.83452613354,3,3,3,Others
27,22,102,10957.027392530441,3,5,4,Loyal
28,2,76,10225.322924232481,5,1,3,Others
29,0,95,10032.026031637191,5,3,3,Others
30,72,97,10238.498551392555,1,4,3,Loyal
31,3,93,10594.996499371528,5,3,3,Others
32,109,77,8003.555990576744,1,1,1,Lost
33,1,102,9688.49602501392,5,5,2,Loyal
34,16,96,14140.53397760391,3,4,5,Loyal
35,20,86,9338.848979520797,3,2,2,Others
36,62,83,7480.61649081707,1,1,1,Lost
37,3,88,9747.25800280571,5,2,2,Others
38,6,78,12290.42448759079,4,1,5,Others
39,1,103,11788.56949584484,5,5,4,Champions
40,10,91,11212.451519203187,4,3,4,Others
41,17,93,9345.953442502025,3,3,2,Others
42,41,105,9963.52843003273,1,5,3,Loyal
43,83,83,8619.070042157175,1,1,1,Lost
44,49,77,8080.320003271103,1,1,1,Lost
45,9,100,9994.242944264413,4,4,3,Loyal
46,5,97,10757.7860196352,4,4,3,Loyal
47,0,95,11282.560486412047,5,3,4,Others
48,6,77,8577.531535410879,4,1,1,Others
49,64,90,8271.31654109955,1,2,1,Lost
